danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4,184,0,0,56,0,122893,13,winner
0.705,0.515,4,-9.343,1,0.0337,0.365,0.0,0.389,0.803,112.035,4,184,0,0,62,0,164106,13,winner
0.311,0.325,2,-9.042,1,0.0283,0.0469,0.0,0.139,0.668,65.09,1,184,0,0,63,0,208466,13,winner
0.632,0.471,0,-7.887,1,0.0348,0.313,5.08e-06,0.0712,0.764,121.672,4,184,0,0,51,0,168120,13,winner
0.469,0.507,0,-8.917,0,0.0451,0.382,0.0,0.0783,0.619,112.984,4,184,0,0,50,0,156826,13,winner
0.381,0.214,4,-11.629,1,0.0337,0.944,0.0,0.106,0.393,127.581,3,184,0,0,54,0,215160,13,winner
0.526,0.413,0,-9.865,1,0.0446,0.338,0.0,0.0992,0.71,111.874,4,184,0,0,50,0,157533,13,winner
0.352,0.479,6,-9.965,1,0.0338,0.339,0.000353,0.486,0.354,126.166,4,184,0,0,48,0,304666,13,winner
0.704,0.241,1,-13.258,1,0.0476,0.625,2.8e-05,0.0868,0.661,140.411,4,184,0,0,60,0,157666,13,winner
0.61,0.471,8,-9.151,0,0.0261,0.0634,0.0,0.118,0.63,87.379,4,184,0,0,49,0,162093,13,winner
0.542,0.618,2,-8.876,1,0.139,0.0858,0.0,0.772,0.93,121.849,3,184,0,0,46,0,161226,13,winner
0.653,0.889,0,-8.006,1,0.0453,0.0061,0.589,0.892,0.879,118.773,4,184,0,0,48,0,79066,13,winner
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4,184,0,0,60,0,337413,13,winner
0.752,0.114,1,-20.251,1,0.0309,0.771,0.000258,0.114,0.294,108.054,4,184,0,0,33,0,156933,10,winner
0.661,0.569,5,-9.208,1,0.0252,0.191,0.00428,0.107,0.392,113.994,4,184,0,0,22,0,237493,10,winner
0.738,0.299,6,-14.05,1,0.0281,0.632,0.00525,0.147,0.683,105.98,4,184,0,0,23,0,249226,10,winner
