track_album_id,track_id,track_album_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,track_type,artist_main,artist_number_featured,track_popularity,track_album_release_date,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
6QaVfG1pHYl1z15ZxkvVDW,4fUKE8EULjQdHF4zb0M8FO,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4,184,False,track,The Beatles,0,56,1967-06-01,day,122893,13,winner
6QaVfG1pHYl1z15ZxkvVDW,2RnPATK99oGOZygnD2GTO6,Sgt. Pepper's Lonely Hearts Club Band (Remastered),With A Little Help From My Friends - Remastered 2009,0.705,0.515,4,-9.343,1,0.0337,0.365,0.0,0.389,0.803,112.035,4,184,False,track,The Beatles,0,62,1967-06-01,day,164106,13,winner
6QaVfG1pHYl1z15ZxkvVDW,25yQPHgC35WNnnOUqFhgVR,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Lucy In The Sky With Diamonds - Remastered 2009,0.311,0.325,2,-9.042,1,0.0283,0.0469,0.0,0.139,0.668,65.09,1,184,False,track,The Beatles,0,63,1967-06-01,day,208466,13,winner
6QaVfG1pHYl1z15ZxkvVDW,3LtOmWpTXLhilL5odoKysR,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Getting Better - Remastered 2009,0.632,0.471,0,-7.887,1,0.0348,0.313,5.08e-06,0.0712,0.764,121.672,4,184,False,track,The Beatles,0,51,1967-06-01,day,168120,13,winner
6QaVfG1pHYl1z15ZxkvVDW,3pKKxkeB1pOUMHwWBmKc3Y,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Fixing A Hole - Remastered 2009,0.469,0.507,0,-8.917,0,0.0451,0.382,0.0,0.0783,0.619,112.984,4,184,False,track,The Beatles,0,50,1967-06-01,day,156826,13,winner
6QaVfG1pHYl1z15ZxkvVDW,3PjMtNzwhDHqxoKudm6GvF,Sgt. Pepper's Lonely Hearts Club Band (Remastered),She's Leaving Home - Remastered 2009,0.381,0.214,4,-11.629,1,0.0337,0.944,0.0,0.106,0.393,127.581,3,184,False,track,The Beatles,0,54,1967-06-01,day,215160,13,winner
6QaVfG1pHYl1z15ZxkvVDW,6W35n1UlkvqhfMZstB4BXs,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Being For The Benefit Of Mr. Kite! - Remastered 2009,0.526,0.413,0,-9.865,1,0.0446,0.338,0.0,0.0992,0.71,111.874,4,184,False,track,The Beatles,0,50,1967-06-01,day,157533,13,winner
6QaVfG1pHYl1z15ZxkvVDW,3Umg8CDhO8dOSj7yBTInYb,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Within You Without You - Remastered 2009,0.352,0.479,6,-9.965,1,0.0338,0.339,0.000353,0.486,0.354,126.166,4,184,False,track,The Beatles,0,48,1967-06-01,day,304666,13,winner
6QaVfG1pHYl1z15ZxkvVDW,1NrbnHlR2BFREcyWXHIHip,Sgt. Pepper's Lonely Hearts Club Band (Remastered),When I'm Sixty Four - Remastered 2009,0.704,0.241,1,-13.258,1,0.0476,0.625,2.8e-05,0.0868,0.661,140.411,4,184,False,track,The Beatles,0,60,1967-06-01,day,157666,13,winner
6QaVfG1pHYl1z15ZxkvVDW,6h9W5FxX4E9lUFsyq8j1AD,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Lovely Rita - Remastered 2009,0.61,0.471,8,-9.151,0,0.0261,0.0634,0.0,0.118,0.63,87.379,4,184,False,track,The Beatles,0,49,1967-06-01,day,162093,13,winner
6QaVfG1pHYl1z15ZxkvVDW,0xIuNHHcKI1JDuBPlSwzb1,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Good Morning Good Morning - Remastered 2009,0.542,0.618,2,-8.876,1,0.139,0.0858,0.0,0.772,0.93,121.849,3,184,False,track,The Beatles,0,46,1967-06-01,day,161226,13,winner
6QaVfG1pHYl1z15ZxkvVDW,42ocGQCOT0xYtV3f5kJDsD,Sgt. Pepper's Lonely Hearts Club Band (Remastered),Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,0.653,0.889,0,-8.006,1,0.0453,0.0061,0.589,0.892,0.879,118.773,4,184,False,track,The Beatles,0,48,1967-06-01,day,79066,13,winner
6QaVfG1pHYl1z15ZxkvVDW,0hKRSZhUGEhKU6aNSPBACZ,Sgt. Pepper's Lonely Hearts Club Band (Remastered),A Day In The Life - Remastered 2009,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4,184,False,track,The Beatles,0,60,1967-06-01,day,337413,13,winner
5UwIyIyFzkM7wKeGtRJPgB,6kWJvPfC4DgUpRsXKNa9z9,The Sign,All That She Wants,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,4,185,False,track,Ace of Base,0,77,1993-12-24,day,211213,13,nominee
5UwIyIyFzkM7wKeGtRJPgB,4SYMibQ93bfzOk6uzkF0dO,The Sign,Don't Turn Around,0.745,0.771,4,-8.231,0,0.0755,0.00104,0.387,0.0574,0.752,95.623,4,185,False,track,Ace of Base,0,57,1993-12-24,day,230186,13,nominee
5UwIyIyFzkM7wKeGtRJPgB,6sUq6M1iKXQLZHZqefgtEq,The Sign,Young and Proud,0.68,0.904,2,-7.334,0,0.0311,0.00101,0.814,0.0774,0.964,120.075,4,185,False,track,Ace of Base,0,32,1993-12-24,day,236840,13,nominee
5UwIyIyFzkM7wKeGtRJPgB,0hrBpAOgrt8RXigk83LLNE,The Sign,The Sign,0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,4,185,False,track,Ace of Base,0,71,1993-12-24,day,191240,13,nominee
5UwIyIyFzkM7wKeGtRJPgB,5ICwDM1fzgqv7HNFUIjPyx,The Sign,Living in Danger,0.669,0.931,11,-7.161,0,0.0488,0.000573,0.56,0.106,0.829,102.079,4,185,False,track,Ace of Base,0,45,1993-12-24,day,223226,13,nominee
5UwIyIyFzkM7wKeGtRJPgB,56r15mfaTXZoGEYBe2FHur,The Sign,Dancer in a Daydream,0.65,0.821,11,-8.997,1,0.0301,0.000449,0.587,0.119,0.96,119.073,4,185,False,track,Ace of Base,0,36,1993-12-24,day,221000,13,nominee
