danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,track_type,artist_main,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,award_status
0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,4,184,FALSE,track,The Beatles,0,56,day,122893,winner
0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4,184,FALSE,track,The Beatles,0,62,day,164106,winner
0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1,184,FALSE,track,The Beatles,0,63,day,208466,winner
0.632,0.471,0,-7.887,1,0.0348,0.313,5.08E-06,0.0712,0.764,121.672,4,184,FALSE,track,The Beatles,0,51,day,168120,winner
0.469,0.507,0,-8.917,0,0.0451,0.382,0,0.0783,0.619,112.984,4,184,FALSE,track,The Beatles,0,50,day,156826,winner
0.381,0.214,4,-11.629,1,0.0337,0.944,0,0.106,0.393,127.581,3,184,FALSE,track,The Beatles,0,54,day,215160,winner
0.526,0.413,0,-9.865,1,0.0446,0.338,0,0.0992,0.71,111.874,4,184,FALSE,track,The Beatles,0,50,day,157533,winner
0.352,0.479,6,-9.965,1,0.0338,0.339,0.000353,0.486,0.354,126.166,4,184,FALSE,track,The Beatles,0,48,day,304666,winner
0.704,0.241,1,-13.258,1,0.0476,0.625,2.80E-05,0.0868,0.661,140.411,4,184,FALSE,track,The Beatles,0,60,day,157666,winner
0.61,0.471,8,-9.151,0,0.0261,0.0634,0,0.118,0.63,87.379,4,184,FALSE,track,The Beatles,0,49,day,162093,winner
0.542,0.618,2,-8.876,1,0.139,0.0858,0,0.772,0.93,121.849,3,184,FALSE,track,The Beatles,0,46,day,161226,winner
0.653,0.889,0,-8.006,1,0.0453,0.0061,0.589,0.892,0.879,118.773,4,184,FALSE,track,The Beatles,0,48,day,79066,winner
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4,184,FALSE,track,The Beatles,0,60,day,337413,winner
0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98E-05,0.103,0.858,93.764,4,185,FALSE,track,Ace of Base,0,77,day,211213,nominee
0.745,0.771,4,-8.231,0,0.0755,0.00104,0.387,0.0574,0.752,95.623,4,185,FALSE,track,Ace of Base,0,57,day,230186,nominee
0.68,0.904,2,-7.334,0,0.0311,0.00101,0.814,0.0774,0.964,120.075,4,185,FALSE,track,Ace of Base,0,32,day,236840,nominee
0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,4,185,FALSE,track,Ace of Base,0,71,day,191240,nominee
0.669,0.931,11,-7.161,0,0.0488,0.000573,0.56,0.106,0.829,102.079,4,185,FALSE,track,Ace of Base,0,45,day,223226,nominee
0.65,0.821,11,-8.997,1,0.0301,0.000449,0.587,0.119,0.96,119.073,4,185,FALSE,track,Ace of Base,0,36,day,221000,nominee
0.785,0.79,10,-6.836,0,0.0555,0.0366,0.0223,0.0845,0.815,91.753,4,185,FALSE,track,Ace of Base,0,50,day,234106,nominee
0.667,0.936,4,-6.689,1,0.0314,0.0172,0.451,0.0726,0.834,126.111,4,185,FALSE,track,Ace of Base,0,30,day,231560,nominee
0.67,0.867,1,-5.136,1,0.0368,0.00123,0.00472,0.0796,0.67,96.049,4,0,FALSE,track,Ace of Base,0,0,day,255413,nominee
0.707,0.976,4,-4.784,0,0.0568,0.0017,0.00122,0.0315,0.923,129.028,4,185,FALSE,track,Ace of Base,0,33,day,200173,nominee
0.6,0.935,5,-8.285,0,0.0327,0.00246,0.61,0.106,0.414,122.044,4,185,FALSE,track,Ace of Base,0,29,day,251146,nominee
0.742,0.706,8,-9.298,0,0.0513,0.000429,0.73,0.22,0.591,93.748,4,185,FALSE,track,Ace of Base,0,26,day,257120,nominee
0.776,0.881,1,-8.393,1,0.0809,0.0603,0.000215,0.0554,0.799,89.919,4,185,FALSE,track,Ace of Base,0,24,day,201691,nominee
0.752,0.114,1,-20.251,1,0.0309,0.771,0.000258,0.114,0.294,108.054,4,184,FALSE,track,Joni Mitchell,0,33,day,156933,winner
0.661,0.569,5,-9.208,1,0.0252,0.191,0.00428,0.107,0.392,113.994,4,184,FALSE,track,Joni Mitchell,0,22,day,237493,winner
0.738,0.299,6,-14.05,1,0.0281,0.632,0.00525,0.147,0.683,105.98,4,184,FALSE,track,Joni Mitchell,0,23,day,249226,winner
0.797,0.379,1,-17.23,0,0.0497,0.75,0.213,0.11,0.474,136.401,3,184,FALSE,track,Joni Mitchell,0,21,day,214200,winner
0.809,0.174,3,-14.756,1,0.0336,0.743,0.0284,0.11,0.206,114.097,4,184,FALSE,track,Joni Mitchell,0,19,day,194533,winner
0.669,0.224,6,-13.861,0,0.034,0.847,0.0102,0.099,0.145,120.129,4,184,FALSE,track,Joni Mitchell,0,24,day,244533,winner
0.615,0.153,4,-18.705,1,0.0314,0.891,0.00976,0.0954,0.112,105.838,4,184,FALSE,track,Joni Mitchell,0,19,day,258173,winner
0.724,0.177,11,-15.882,1,0.0323,0.669,8.34E-05,0.11,0.355,115.073,4,184,FALSE,track,Joni Mitchell,0,19,day,287866,winner
0.668,0.179,9,-16.442,0,0.0314,0.895,0.012,0.111,0.324,115.991,4,184,FALSE,track,Joni Mitchell,0,18,day,316560,winner
0.719,0.283,2,-13.745,1,0.0306,0.614,7.82E-05,0.195,0.431,115.104,4,184,FALSE,track,Joni Mitchell,0,23,day,427200,winner
0.732,0.623,7,-9.004,1,0.0334,0.106,0,0.0704,0.736,94.994,4,184,FALSE,track,Madonna,0,37,day,211373,nominee
0.813,0.655,1,-7.884,1,0.0262,0.101,6.65E-05,0.146,0.46,99.982,4,184,FALSE,track,Madonna,0,51,day,304933,nominee
0.79,0.756,11,-6.908,1,0.0938,0.221,9.87E-05,0.114,0.724,91.913,4,184,FALSE,track,Madonna,0,34,day,279733,nominee
0.733,0.789,4,-7.95,0,0.0584,0.00227,0.000622,0.0618,0.622,94.858,4,184,FALSE,track,Madonna,1,33,day,278133,nominee
0.706,0.514,1,-11.437,1,0.0345,0.128,0.0247,0.0678,0.401,95.4,4,184,FALSE,track,Madonna,0,36,day,251933,nominee
0.691,0.571,10,-7.737,0,0.0347,0.0313,0.206,0.118,0.641,92.528,4,184,FALSE,track,Madonna,0,45,day,293933,nominee
0.599,0.506,8,-9.83,0,0.0343,0.254,6.15E-05,0.215,0.504,74.996,4,184,FALSE,track,Madonna,0,35,day,249253,nominee
0.694,0.486,6,-8.469,0,0.0247,0.226,0.0161,0.241,0.341,92.09,4,184,FALSE,track,Madonna,0,35,day,321426,nominee
0.592,0.526,7,-12.471,1,0.0741,0.153,0.0205,0.0995,0.416,170.321,4,184,FALSE,track,Madonna,1,35,day,303133,nominee
0.712,0.612,0,-12.74,1,0.0441,0.831,0.441,0.118,0.526,112.028,4,184,FALSE,track,Madonna,0,41,day,292906,nominee
0.568,0.366,8,-8.854,1,0.0258,0.417,3.39E-06,0.0664,0.311,79.98,4,184,FALSE,track,Madonna,0,54,day,321360,nominee
0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,4,185,FALSE,track,Céline Dion,0,71,day,456866,winner
0.615,0.467,1,-9.883,1,0.0327,0.314,0,0.099,0.177,119.919,4,185,FALSE,track,Céline Dion,0,74,day,273666,winner
0.371,0.505,2,-9.052,0,0.0314,0.382,0,0.115,0.564,193.246,4,185,FALSE,track,Céline Dion,0,52,day,258239,winner
0.572,0.768,5,-6.378,0,0.057,0.0387,0,0.298,0.61,175.827,4,185,FALSE,track,Céline Dion,0,39,day,271226,winner
0.278,0.369,7,-10.364,0,0.0389,0.67,0.00072,0.0865,0.183,176.663,3,185,FALSE,track,Céline Dion,0,41,day,226306,winner
0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515,4,185,FALSE,track,Céline Dion,0,67,day,312306,winner
0.718,0.895,0,-6.718,1,0.0324,0.0483,0,0.0855,0.856,117.049,4,185,FALSE,track,Céline Dion,0,35,day,260532,winner
0.599,0.459,1,-8.786,0,0.0297,0.184,0,0.351,0.152,104.721,3,185,FALSE,track,Céline Dion,0,45,day,220893,winner
0.528,0.482,9,-8.872,1,0.03,0.254,0,0.285,0.264,166.073,4,185,FALSE,track,Céline Dion,0,44,day,307733,winner
0.438,0.496,1,-7.905,0,0.0262,0.436,0,0.225,0.257,176.984,3,185,FALSE,track,Céline Dion,0,64,day,330200,winner
0.661,0.495,2,-9.159,1,0.0457,0.145,3.89E-06,0.0639,0.434,89.944,4,185,FALSE,track,Céline Dion,0,54,day,252493,winner
0.366,0.483,4,-8.411,0,0.0367,0.303,2.83E-05,0.079,0.0372,180.064,3,185,FALSE,track,Céline Dion,0,39,day,278906,winner
0.476,0.886,0,-5.86,0,0.0668,0.114,0,0.81,0.653,166.964,4,185,FALSE,track,Céline Dion,0,51,day,250560,winner
0.587,0.659,0,-9.221,1,0.0355,0.0873,0,0.354,0.225,147.964,4,185,FALSE,track,Céline Dion,0,33,day,312493,winner
0.569,0.372,10,-10.429,1,0.0307,0.625,0.00043,0.0839,0.188,126.125,4,185,FALSE,track,Céline Dion,0,46,day,368266,winner
0.233,0.131,4,-17.202,1,0.0381,0.918,2.61E-05,0.0687,0.0676,86.493,1,185,FALSE,track,Céline Dion,0,40,day,178200,winner
0.478,0.335,9,-11.701,0,0.0322,0.57,3.30E-06,0.125,0.374,128.273,4,184,FALSE,track,Tracy Chapman,0,33,day,323666,nominee
0.634,0.455,4,-11.18,0,0.038,0.243,0.0449,0.0848,0.762,125.19,4,184,FALSE,track,Tracy Chapman,0,39,day,333173,nominee
0.508,0.489,9,-11.604,1,0.027,0.429,9.82E-05,0.0925,0.592,143.062,4,184,FALSE,track,Tracy Chapman,0,43,day,399200,nominee
0.463,0.253,7,-14.675,1,0.0294,0.69,0.000159,0.204,0.144,99.585,4,184,FALSE,track,Tracy Chapman,0,33,day,340560,nominee
0.496,0.284,9,-13.795,1,0.0378,0.726,0.00018,0.123,0.187,80.629,4,184,FALSE,track,Tracy Chapman,0,42,day,308666,nominee
0.496,0.0975,1,-17.234,1,0.0318,0.703,0.000714,0.0951,0.36,141.397,4,184,FALSE,track,Tracy Chapman,0,58,day,327866,nominee
0.622,0.279,9,-13.058,0,0.0319,0.91,0.00105,0.147,0.137,112.388,4,184,FALSE,track,Tracy Chapman,0,30,day,427800,nominee
0.466,0.601,4,-10.365,0,0.0369,0.436,0.139,0.0858,0.736,179.083,4,184,FALSE,track,Tracy Chapman,0,31,day,364893,nominee
0.608,0.419,11,-10.016,1,0.0331,0.602,7.58E-06,0.108,0.602,100.22,4,184,FALSE,track,Tracy Chapman,0,71,day,268333,nominee
0.599,0.131,5,-15.064,0,0.0414,0.92,1.65E-05,0.122,0.404,145.402,4,184,FALSE,track,Tracy Chapman,0,32,day,345373,nominee
0.417,0.239,0,-12.447,1,0.0311,0.766,0.000491,0.104,0.386,178.515,4,184,FALSE,track,Tracy Chapman,0,38,day,295960,nominee
0.762,0.346,4,-12.959,0,0.0344,0.629,0.000126,0.0971,0.297,119.968,4,185,FALSE,track,James Taylor,0,28,day,282506,winner
0.595,0.212,2,-14.5,0,0.0325,0.81,0.000207,0.116,0.174,110.945,4,185,FALSE,track,James Taylor,0,23,day,326933,winner
0.72,0.461,9,-9.521,0,0.0436,0.208,8.08E-05,0.213,0.294,124.891,4,185,FALSE,track,James Taylor,0,27,day,230933,winner
0.52,0.223,4,-15.125,1,0.0307,0.845,0.119,0.0838,0.0788,89.003,4,185,FALSE,track,James Taylor,0,24,day,328866,winner
0.836,0.414,4,-12.831,0,0.0274,0.413,0.0233,0.09,0.713,100.022,4,185,FALSE,track,James Taylor,0,19,day,342400,winner
0.696,0.478,5,-13.305,1,0.0598,0.37,0.00105,0.175,0.543,95.018,4,185,FALSE,track,James Taylor,0,21,day,208306,winner
0.334,0.188,1,-15.088,0,0.0529,0.771,8.57E-05,0.113,0.28,182.58,4,185,FALSE,track,James Taylor,0,24,day,141373,winner
0.709,0.372,5,-13.71,1,0.029,0.413,0.0853,0.131,0.401,141.98,4,185,FALSE,track,James Taylor,0,17,day,226933,winner
0.342,0.307,9,-11.362,1,0.0307,0.501,0.00346,0.191,0.151,91.301,3,185,FALSE,track,James Taylor,0,17,day,314773,winner
0.67,0.58,2,-10.551,1,0.0307,0.524,0.00754,0.177,0.673,137.897,4,185,FALSE,track,James Taylor,0,17,day,293600,winner
0.701,0.373,4,-11.51,1,0.0285,0.571,2.86E-06,0.0989,0.344,104.048,4,185,FALSE,track,James Taylor,0,19,day,236600,winner
0.499,0.234,11,-14.486,1,0.0423,0.824,0.00116,0.105,0.335,97.58,4,185,FALSE,track,James Taylor,0,20,day,147533,winner
0.33,0.393,2,-13.055,1,0.0405,0.0576,0.00394,0.152,0.24,178.913,5,185,FALSE,track,James Taylor,0,13,day,141333,winner
0.44,0.784,7,-7.688,1,0.0624,0.00149,0.000266,0.998,0.424,79.015,4,184,FALSE,track,Fleetwood Mac,0,40,day,310960,nominee
0.593,0.749,0,-7.828,1,0.0551,0.249,0.000477,0.431,0.646,120.987,4,184,FALSE,track,Fleetwood Mac,0,38,day,279066,nominee
0.53,0.809,4,-7.334,1,0.0365,0.0988,4.95E-05,0.826,0.582,119.483,4,184,FALSE,track,Fleetwood Mac,0,38,day,208733,nominee
0.528,0.635,9,-9.716,0,0.0457,0.219,0.00032,0.815,0.325,125.951,4,184,FALSE,track,Fleetwood Mac,0,38,day,408373,nominee
0.452,0.752,5,-6.449,0,0.0617,0.000131,0.864,0.691,0.507,113.149,4,184,FALSE,track,Fleetwood Mac,0,36,day,465333,nominee
0.455,0.886,2,-7.663,1,0.138,0.0684,9.67E-06,0.282,0.792,80.767,4,184,FALSE,track,Fleetwood Mac,0,34,day,240706,nominee
