Feature,Fisher_Score,P_Value
track_popularity,0.13016279212986054,5.7772514407846844e-11
track_album_release_date_precision,0.08258746241679558,1.232500734370065e-07
track_available_markets,0.07943575776591015,3.225285327413015e-07
liveness,0.04167615809166683,0.0001625520534150512
energy,0.03552226315434641,0.0005375274041985388
loudness,0.031896017757691776,0.001050860673278981
speechiness,0.026840309282772527,0.002409936531873378
instrumentalness,0.023325326369889463,0.004607973523342139
tempo,0.022452570548790254,0.005730829825571692
danceability,0.020053536810674698,0.009105989784428907
artist_number_featured,0.019793253680707477,0.008847613407473308
acousticness,0.013053573778036325,0.0354321493157954
key,0.005819419222939647,0.15940101352966382
track_explicit,0.0033574421601029803,0.2841552161836487
mode,0.0019177873986882432,0.418747018673974
time_signature,0.00013878967483858362,0.8271359990593345
track_duration_ms,4.101755947693873e-05,0.9054680325109201
valence,2.459027219223395e-05,0.9270028016657492
