track_album_id,album_name,artist,featured_artist_album,featured_artist_track_mean,duration_album,duration_track_mean,danceability_mean,energy_mean,key_mode,loudness_mean,mode_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,time_signature_mean,avaliable_markets,explicit_tracks,track_popularity,release_date,release_date_precision
01OEtg0FSGkV8mPeNAYE7c,Memory Almost Full,Paul McCartney,0,0,2518369,193720.6923076923,0.516,0.6899230769230769,9,-3.459769230769231,0,0.03260769230769231,0.19049076923076924,0.0014233923076923077,0.21417692307692307,0.47292307692307695,109.24246153846154,4,184,0,13.153846153846153,2007,day
05I1EsreLq47JU8pypj7TR,Ode To Billie Joe,Bobbie Gentry,0,0,1817101,181710.1,0.5238,0.2982,7,-13.6548,1,0.04702,0.7736999999999999,1.147e-5,0.09913999999999999,0.5879,124.0476,4,184,0,19.6,1967,day
05c49JgPmL4Uz2ZeqRx5SP,Chromatica,Lady Gaga,3,0.1875,2588168,161760.5,0.623625,0.76075,0,-5.8585,1,0.0525375,0.136011875,0.172760545625,0.3959625,0.41250625,113.818,4,184,0,51.75,2020,day
05ic4vwaq6R792nELxFMmE,Bare,Annie Lennox,0,0,2936837,266985.1818181818,0.5272727272727272,0.4339909090909091,0,-10.525272727272727,1,0.03343636363636364,0.31829090909090907,1.6024545454545454e-5,0.10479090909090909,0.26925454545454547,117.94854545454545,4,185,0,21.818181818181817,2003,day
06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,Coldplay,4,0.3333333333333333,2510606,209217.16666666666,0.419075,0.5620083333333333,5,-11.27525,1,0.053566666666666665,0.37525183333333334,0.33036791666666665,0.25856666666666667,0.21655,140.93575,4,185,1,54.416666666666664,2021,day
08jWgM4vSkTose4blKBWov,In The Lonely Hour,Sam Smith,0,0,1970623,197062.3,0.5439,0.4286,4,-8.1084,1,0.055349999999999996,0.6085,3.43121e-4,0.14502,0.3395,101.9091,4,184,0,60.9,2014,day
097eYvf9NKjFnv4xA9s2oV,Back To Black,Amy Winehouse,0,0,2086371,189670.0909090909,0.5810909090909091,0.7633636363636364,9,-4.005727272727273,1,0.06627272727272727,0.20066727272727272,0.005658057272727272,0.16203636363636365,0.5315454545454545,113.74136363636363,4,184,4,54.54545454545455,2006,day
0CE9VXSH70pz4BQzMPm9gO,Kaleidoscope EP,Coldplay,2,0.4,1499077,299815.4,0.4556,0.782,5,-6.0964,1,0.0413,0.115196,0.3106748,0.29986,0.25678,108.2158,4,184,0,46.4,2017,day
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,Chappell Roan,0,0,2948453,210603.7857142857,0.5725714285714286,0.6001428571428571,1,-5.969714285714286,1,0.045514285714285715,0.27060357142857144,9.507142857142857e-7,0.12865000000000001,0.49414285714285716,121.49085714285714,4,183,4,77.71428571428571,2023,day
0IfJey7ibEDtWNxAQw2ub9,All For You,Janet Jackson,2,0.1,4380307,219015.35,0.6162,0.618055,0,-9.7845,1,0.153195,0.3106412,0.030377360500000002,0.240455,0.5283,105.00015,4,183,2,25.6,2001,day
0JGOiO34nwfUdDrD612dOp,Happier Than Ever,Billie Eilish,0,0,3375799,210987.4375,0.622125,0.313625,8,-11.9048125,1,0.09896875,0.6355875,0.243905375,0.14773125,0.3055625,109.05275,4,184,5,70.8125,2021,day
0KFPnm4Ow2L9BuivmWT3pu,Rock Steady (Expanded Edition),No Doubt,2,0.13333333333333333,3386647,225776.46666666667,0.6478,0.6297333333333334,11,-5.6274,0,0.06098666666666667,0.22524666666666665,0.0016243313333333335,0.17054,0.6526666666666666,128.43406666666667,4,184,0,37.333333333333336,2001,day
0Lg1uZvI312TPqxNWShFXL,21,Adele,0,0,2884922,262265.63636363635,0.5802727272727273,0.534,0,-6.081818181818182,1,0.03602727272727273,0.43914363636363635,2.160327272727273e-4,0.11753636363636363,0.4149090909090909,133.50972727272728,4,23,0,62.90909090909091,2011,day
0NxA1D1taWpPdIc6uIlAi9,Lovers Rock,Sade,0,0,2654554,241323.0909090909,0.7194545454545455,0.34803636363636364,9,-11.859181818181819,1,0.05212727272727273,0.2600363636363636,0.08222454545454545,0.11244545454545454,0.5205454545454545,115.98490909090908,4,185,0,50.27272727272727,2000,day
0O82niJ0NpcptYRxogeEZu,The 20/20 Experience (Deluxe Version),Justin Timberlake,1,0.08333333333333333,4767462,397288.5,0.6324166666666666,0.55875,1,-8.104916666666666,0,0.10205833333333333,0.33290000000000003,0.059041730833333333,0.28554999999999997,0.41025833333333334,120.55324999999999,4,185,1,47.583333333333336,2013,day
0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,0,0,2575261,183947.2142857143,0.5837857142857142,0.28172142857142857,8,-15.085071428571428,1,0.19308571428571428,0.6568571428571428,0.12069272,0.23930714285714286,0.28800714285714285,105.49428571428571,4,184,0,69.78571428571429,2019,day
0TJsDbqfqBgHfj3hkDJG64,Covers,James Taylor,0,0,2528075,210672.91666666666,0.65841666666666665,0.5496666666666666,5,-8.85325,1,0.04344166666666667,0.53125,0.0018896416666666668,0.21,0.6490833333333333,123.78966666666666,4,136,0,14.083333333333334,2008,day
0VaAFegRAAn4OCg7p4QjN5,Spirit,Leona Lewis,0,0,3136050,241234.61538461538,0.5999230769230769,0.5753076923076923,8,-6.2323076923076925,1,0.06052307692307692,0.32671538461538463,3.5307692307692306e-6,0.1493846153846154,0.3964,124.29723076923077,4,184,0,34,NA,year
0XcNHzWiVE1RAQrQ4tvtOZ,Chaos And Creation In The Backyard,Paul McCartney,0,0,2796237,199731.2142857143,0.5392857142857143,0.4920714285714286,7,-7.822357142857143,1,0.029471428571428572,0.4151214285714286,0.12251019142857143,0.1235,0.3455714285714286,122.5272142857143,4,184,0,27.928571428571427,2005,day
0jZfbz0dNfDjPSg0hYJNth,Believe,Cher,2,0.2,2641798,264179.8,0.6743,0.8156,0,-7.3292,1,0.05072,0.097196,7.21015e-4,0.15178,0.5705,124.7339,4,174,0,43.8,NA,year
0m5E4LzAWRkdAPbWGHax0Q,Turbulent Indigo,Joni Mitchell,0,0,2586717,258671.7,0.7152000000000001,0.2551,1,-15.413,1,0.03272,0.7003,0.02833096,0.11984,0.3416,115.0661,4,184,0,22.1,1994,day
0rmhjUgoVa17LZuS8xWQ3v,Pure Heroine,Lorde,0,0,2231852,223185.2,0.6168,0.4664,1,-9.2003,1,0.06334,0.34079,0.09160873,0.17322,0.22186999999999998,120.3989,4,183,1,64.4,2013,day
0uUtGVj0y9FjfKful7cABY,Voyage,ABBA,0,0,2229184,222918.4,0.5562,0.4731,2,-9.562999999999999,1,0.02938,0.5421,0.074079934,0.17899,0.5083,108.0955,4,184,0,44.6,2021,day
0yaF1CrQzaPmCrt35nqGWq,M!ssundaztood,P!nk,3,0.21428571428571427,3318195,237013.92857142858,0.6419285714285714,0.7565714285714286,0,-5.709357142857143,0,0.05312142857142857,0.0436528,0.002232940714285714,0.15854285714285715,0.5585714285714286,121.91871428571429,4,185,1,30.714285714285715,2001,day
0zRJsgzHZUUdk8Rjk6Segd,Back To Basics,Christina Aguilera,1,0.045454545454545456,4723553,214706.95454545456,0.5641818181818182,0.6259090909090909,1,-5.769318181818182,0,0.13324545454545456,0.30689500000000003,0.04510333727272727,0.26653181818181815,0.44586363636363635,114.61518181818181,4,185,0,36.81818181818182,2006,day
151w1FgRZfnKZA9FEcg9Z3,Midnights,Taylor Swift,1,0.07692307692307693,2648338,203718.3076923077,0.6396153846153846,0.4086923076923077,7,-10.880615384615384,1,0.10366923076923078,0.39197692307692306,0.02588854384615385,0.15403846153846154,0.22214615384615385,117.30753846153846,4,183,6,71.92307692307692,2022,day
